상가업소번호	상호명	지점명	상권업종대분류코드	상권업종대분류명	상권업종중분류코드	상권업종중분류명	상권업종소분류코드	상권업종소분류명	표준산업분류코드	표준산업분류명	시도코드	시도명	시군구코드	시군구명	행정동코드	행정동명	법정동코드	법정동명	지번코드	대지구분코드	대지구분명	지번본번지	지번부번지	지번주소	도로명코드	도로명	건물본번지	건물부번지	건물관리번호	건물명	도로명주소	구우편번호	신우편번호	동정보	층정보	호정보	경도	위도
16172712	이디야커피	영등포아크로타워점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11560	영등포구	1156053500	영등포동	1156010800	영등포동7가	1156010800101450000	1	대지	145	8	서울특별시 영등포구 영등포동7가 145-8	115604154084	서울특별시 영등포구 국회대로54길	10		1156010800101450000000000	아크로타워스퀘어	서울특별시 영등포구 국회대로54길 10	150030	7247				126.9070316651	37.5237380756
16172639	이디야커피	디지털미디어시티역사점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11440	마포구	1144074000	상암동	1144012700	상암동	1144012700111400000	1	대지	1140		서울특별시 마포구 상암동 1140	114403113012	서울특별시 마포구 성암로	184		1144012700111400000000000	공항철도디지털미디어시티역	서울특별시 마포구 성암로 184	121835	3928				126.8989994883	37.5768156922
19988577	이디야커피	동덕여대점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11290	성북구	1129072500	월곡2동	1129013600	하월곡동	1129013600100210000	1	대지	21	78	서울특별시 성북구 하월곡동 21-78	112904121744	서울특별시 성북구 화랑로13길	28		1129013600100210000000000		서울특별시 성북구 화랑로13길 28	136130	2748		1		127.0422635235	37.604591675
25859817	이디야커피	강서구청점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11500	강서구	1150059100	화곡6동	1150010300	화곡동	1150010300109810000	1	대지	981	1	서울특별시 강서구 화곡동 981-1	115003005069	서울특별시 강서구 화곡로	292		1150010300109810000000000	서광프리메라	서울특별시 강서구 화곡로 292	157010	7663		1		126.8487571931	37.5503055678
23258426	이디야커피	중계롯데우성점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11350	노원구	1135062100	중계1동	1135010600	중계동	1135010600103610000	1	대지	361	1	서울특별시 노원구 중계동 361-1	113504130074	서울특별시 노원구 노원로22길	34		1135010600103610000000000	우성아파트	서울특별시 노원구 노원로22길 34	139918	1746		2		127.0727537642	37.6463640684
23413558	이디야커피	양재언남점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11650	서초구	1165065200	양재2동	1165010200	양재동	1165010200103770000	1	대지	377	1	서울특별시 서초구 양재동 377-1	116503121005	서울특별시 서초구 동산로	60		1165010200103770000000000	화성빌딩	서울특별시 서초구 동산로 60	137130	6784		1		127.0453977007	37.4716851007
28455232	이디야커피		Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11290	성북구	1129071500	월곡1동	1129013600	하월곡동	1129013600102250000	1	대지	225	3	서울특별시 성북구 하월곡동 225-3	112904121436	서울특별시 성북구 오패산로16길	37		1129013600102220000000000	서울숭인초등학교	서울특별시 성북구 오패산로16길 37	136130	2741				127.0382182355	37.6091540791
12328257	이디야커피	사당역점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11590	동작구	1159062000	사당1동	1159010700	사당동	1159010700110460000	1	대지	1046	39	서울특별시 동작구 사당동 1046-39	115904157164	서울특별시 동작구 동작대로7길	100		1159010700110460000000000		서울특별시 동작구 동작대로7길 100	156827	7024		1		126.9775141793	37.4771452352
20002136	이디야커피	오금점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11710	송파구	1171062000	가락본동	1171010700	가락동	1171010700100080000	1	대지	8		서울특별시 송파구 가락동 8	117103123014	서울특별시 송파구 오금로	306		1171010700100080000000000	가락스타클래스	서울특별시 송파구 오금로 306	138160	5701		1		127.1261051669	37.5028736267
20010251	이디야커피	광운대점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11350	노원구	1135056000	월계1동	1135010200	월계동	1135010200104650000	1	대지	465	10	서울특별시 노원구 월계동 465-10	113503110001	서울특별시 노원구 광운로	29		1135010200104650000000000	대성고시원	서울특별시 노원구 광운로 29	139050	1891		1		127.0584078246	37.620318592
25274567	이디야커피	건대후문점	Q	음식	Q12	커피점/카페	Q12A01	커피전문점/카페/다방	I56220	비알콜 음료점업	11	서울특별시	11215	광진구	1121571000	화양동	1121510700	화양동	1121510700104990000	1	대지	499	1	서울특별시 광진구 화양동 499-1	112153005024	서울특별시 광진구 광나루로	416		1121510700101990000000000	건회빌딩	서울특별시 광진구 광나루로 416	143926	5021		1		127.0755657805	37.5464513792
